,distance_wheelchair,speed_wheelchair,acceleration_wheelchair,distance_tracker,speed_tracker,acceleration_tracker,danger_tracker,distance_drone,speed_drone,acceleration_drone,distance_range,speed_range,acceleration_range,wheelchair_data,drone_data,tracker_data,range_data
5.17,,0.0,0.0,1.9202,0.46026665383135607,-0.23511230497875443,0.9863307837160995,,0.0,0.0,2.0312,0.5214162499614979,-0.37206509572153956,False,False,True,False
5.18,,0.0,0.0,1.9202,0.46026665383135607,-0.23511230497875443,0.9863307837160995,,0.0,0.0,2.0312,0.5214162499614979,-0.37206509572153956,False,False,False,False
5.19,,0.0,0.0,1.9202,0.46026665383135607,-0.23511230497875443,0.9863307837160995,,0.0,0.0,2.0312,0.5214162499614979,-0.37206509572153956,False,False,False,False
5.2,,0.0,0.0,1.9202,0.46026665383135607,-0.23511230497875443,0.9863307837160995,,0.0,0.0,2.0312,0.5214162499614979,-0.37206509572153956,False,False,False,False
5.21,,0.0,0.0,1.9049,0.4574588394681775,-0.0839516013086115,0.9860766283134019,,0.0,0.0,2.0312,0.5214162499614979,-0.37206509572153956,False,False,True,False
5.22,,0.0,0.0,1.9049,0.4574588394681775,-0.0839516013086115,0.9860766283134019,,0.0,0.0,1.9544000000000001,0.5952959712352996,0.5726601618526176,False,False,False,False
5.23,,0.0,0.0,1.9049,0.4574588394681775,-0.0839516013086115,0.9860766283134019,,0.0,0.0,1.9544000000000001,0.5952959712352996,0.5726601618526176,False,False,False,False
5.24,,0.0,0.0,1.8898,0.45645768522387553,-0.030263877411002178,0.9901737999176756,,0.0,0.0,1.9544000000000001,0.5952959712352996,0.5726601618526176,False,False,True,False
5.25,,0.0,0.0,1.8898,0.45645768522387553,-0.030263877411002178,0.9901737999176756,,0.0,0.0,1.9544000000000001,0.5952959712352996,0.5726601618526176,False,False,False,False
5.26,,0.0,0.0,1.8898,0.45645768522387553,-0.030263877411002178,0.9901737999176756,,0.0,0.0,1.9544000000000001,0.5952959712352996,0.5726601618526176,False,False,False,False
5.27,,0.0,0.0,1.8749,0.44778179118487055,-0.26073203845072584,0.975457018810019,,0.0,0.0,1.9544000000000001,0.5952959712352996,0.5726601618526176,False,False,True,False
5.28,,0.0,0.0,1.8749,0.44778179118487055,-0.26073203845072584,0.975457018810019,,0.0,0.0,1.9544000000000001,0.5952959712352996,0.5726601618526176,False,False,False,False
5.29,,0.0,0.0,1.8749,0.44778179118487055,-0.26073203845072584,0.975457018810019,,0.0,0.0,1.9544000000000001,0.5952959712352996,0.5726601618526176,False,False,False,False
5.3,,0.0,0.0,1.8749,0.44778179118487055,-0.26073203845072584,0.975457018810019,,0.0,0.0,1.9544000000000001,0.5952959712352996,0.5726601618526176,False,False,False,False
